ngram,count,percentage
in,134812613554,2.020928565982535
th,133210262170,1.9969082788647414
er,119214789533,1.7871070614496443
re,108669181717,1.6290215565464516
he,106498528786,1.596482060430723
an,105422467512,1.5803512036062382
on,100461773921,1.5059871873554687
es,97326307798,1.4589845153606624
or,85998433585,1.2891723295021131
te,80948650956,1.2134728107559634
at,80609883139,1.2083944613303244
ti,79834588969,1.1967722985824363
st,78728300226,1.1801883123810408
en,77314896004,1.1590004658419186
nt,71720202984,1.0751323867063396
ar,68756067210,1.030698067830622
to,68548751664,1.0275902732553328
nd,68018862077,1.0196468844658555
al,64032793037,0.959893122732812
it,60786494374,0.9112289990368512
se,58165976437,0.8719457345340708
ed,57514469508,0.8621792228624884
is,56531345460,0.8474415553688472
ea,55939058323,0.8385627868109788
ng,54671896948,0.8195672154550283
ou,52913816186,0.7932124438979368
le,52533619401,0.7875130473559844
co,52490369344,0.7868647009337361
me,50958591639,0.7639023590640734
ne,48426255131,0.7259409914087557
ri,48154583840,0.7218684624512236
ro,46608666502,0.6986941583067493
de,46344292825,0.6947310253189808
ra,46135420707,0.6915998967192494
io,45866820943,0.6875734119447638
ic,45663138305,0.6845200770180287
li,45239121467,0.6781637894438801
of,44948393239,0.673805584633413
as,43550945165,0.6528569311078092
et,42812689527,0.6417899999913507
ve,42386634729,0.6354031620742352
ta,42344542093,0.6347721661439039
si,41483080358,0.6218582956768424
ha,41206270659,0.6177087386487379
ma,40261070734,0.6035395783703348
ec,39836916955,0.5971812379617261
om,38270823174,0.5737044758428554
ce,37978263270,0.5693188130204527
el,37931534499,0.5686183184177773
ll,36610231690,0.5488111318302146
ca,35964886206,0.5391369842177508
ur,35957660877,0.5390286718470477
la,35279652135,0.5288648807998187
ch,34170408619,0.5122366006336058
hi,34041908708,0.5103103035756373
di,33302437545,0.49922515095059433
ho,33037260281,0.4952499716721952
fo,32748744509,0.4909249330129769
ns,32458807204,0.486578584651562
ot,32419391981,0.4859877248796508
ac,31993660134,0.47960572820760955
na,31835157885,0.4772296766325226
rs,31498209240,0.47217859777574445
so,31467005438,0.4717108325335566
pr,31268978905,0.4687422862913915
rt,31174956946,0.46733283610892296
sa,31138171773,0.4667814024933249
ss,31081241798,0.46592798522245443
us,30677125454,0.45987001896811064
no,30618138499,0.45898576623212994
il,30603240902,0.45876244158506546
ts,29972404314,0.4493057917394225
em,29776626954,0.44637096206016424
ct,28898718663,0.43321054704540646
ge,28502237355,0.4272670349355817
lo,28357992178,0.4251047061221303
ee,27451934708,0.41152231664630123
be,27212687351,0.40793584350146117
tr,26996514264,0.4046952686383387
ni,25359266664,0.3801518645962459
pe,25126480018,0.37666224170207785
ie,24933647247,0.37377155332286793
pa,24898597250,0.3732461311215801
nc,24737829432,0.3708361171969058
po,23703275501,0.35532748238084716
ol,23553044761,0.3530754260935986
da,23279747379,0.34897852097669857
ad,23202347740,0.3478182501583513
vi,23140348141,0.346888835933707
un,22987447404,0.3445967546586911
am,22902383711,0.343321594697173
ut,22499209523,0.33727775197269644
wi,21486195066,0.322092007850285
mo,21343638917,0.31995499866267535
sh,21322806441,0.3196427063278659
yo,20264440566,0.3037771150181042
ai,20090957077,0.30117648493310123
ew,20003014022,0.299858161466595
ow,19972624694,0.29940260571823313
os,19821367131,0.2971351566878413
fi,19753676090,0.2961204240540644
ep,19436550393,0.29136650405222636
tt,19222971337,0.28816481539723204
mi,19090900236,0.2861849838835825
op,19077697278,0.2859870629748911
ia,19042814662,0.2854641499234179
we,18727322433,0.2807347166669651
ag,18418672749,0.27610785760064166
