ngram,count,percentage
the,82103550112,1.3645552293078884
ing,43727954927,0.7267555359199557
and,43452082914,0.7221705624633228
ion,39907843075,0.6632655455714657
tio,32705432538,0.5435619889228337
ent,31928292897,0.5306459827381753
for,26276145239,0.43670768612343513
ati,25312331919,0.4206891765207624
ter,21635845251,0.35958622663057366
ate,19978168727,0.33203575937015106
ers,18428556963,0.3062813208217725
res,16905804845,0.2809732877011332
her,16817683835,0.2795087227116369
est,16153205958,0.26846514712223946
com,16125312457,0.26800155909710127
pro,15952570392,0.2651305981240904
ere,15305553822,0.25437722822914705
all,15280030691,0.25395303558672355
int,15254348969,0.2535262071730322
men,15240388304,0.2532941819024516
you,15014247063,0.24953573037937155
ons,14765503549,0.24540163066843215
our,14731181262,0.2448311966720487
con,14345102137,0.2384145887637828
are,14170861835,0.23551872719718858
tha,13970309343,0.23218555888307774
ver,13912756928,0.23122904179288592
ess,13754386504,0.2285969364826757
thi,13367612267,0.22216877586185035
rea,13285735421,0.22080798843894198
sta,12930801230,0.21490900714363223
tin,12540895012,0.20842879321882904
hat,12149329559,0.20192100292500387
ist,12124300892,0.20150502823948943
ect,12119170351,0.20141975900885106
ort,12058955817,0.2004189976880805
ear,12053692257,0.2003315176910161
ine,11957930765,0.19873996842796143
age,11949496341,0.19859978889419339
his,11668102248,0.19392303885627538
ted,11406578213,0.18957652778504713
ont,11390852799,0.18931517251018437
nce,11196008401,0.18607687231695816
sto,11072718004,0.1840277945886468
ith,11044086726,0.18355194476164938
nte,10870885323,0.18067334962337936
sin,10799660436,0.17948959701000108
tor,10786422584,0.179269584840652
ore,10667700294,0.17729642872944956
lin,10581656074,0.17586637984371253
ive,10484022493,0.1742437165931239
ite,10265976124,0.1706198012734493
wit,10193568110,0.169416385172529
not,10064096791,0.16726458095522248
nth,10030465425,0.1667056300172732
tra,9796133143,0.16281104396877033
ome,9794497140,0.1627838537139547
ica,9785687575,0.16263743936314673
per,9744491337,0.1619527607845222
art,9656060803,0.1604830515279117
ste,9569241613,0.1590401226952709
cti,9429172779,0.15671218852388574
oft,9311134315,0.1547503975527164
oth,9268238918,0.15403747907099738
ice,9216488654,0.15317739332241606
out,9109347899,0.1513967215084956
ill,8856637789,0.14719669725096876
ide,8762459520,0.14563146104284122
eth,8761791336,0.14562035587174815
ies,8755941598,0.14552313363754402
one,8734828995,0.14517224366033046
ser,8638918094,0.14357821123020229
eco,8634091171,0.14349798810937342
era,8576303979,0.14253756904195122
str,8562859196,0.14231411769393357
eve,8494214965,0.14117325540180256
din,8409981481,0.1397733008210539
rat,8359118483,0.1389279613709997
ona,8349559915,0.1387690986430019
ces,8338433547,0.13858417918925242
edi,8301169405,0.13796485176964138
iti,8274710654,0.13752510918861102
eri,8255178069,0.13720047899944998
ran,8085921288,0.13438744320143262
san,8028613003,0.13343498353467348
ity,7977725523,0.13258923719550086
oun,7953797964,0.1321915628475161
nal,7901959084,0.13133000430724628
use,7847978561,0.13043285181091765
ure,7815758547,0.12989735744396155
rin,7789909616,0.12946775002844843
ame,7785396816,0.12939274760979028
act,7780788086,0.12931615084127795
igh,7777301857,0.12925820996045093
ese,7747062209,0.12875562913715474
ave,7740219867,0.12864190989427088
sti,7735728445,0.12856726277646943
nts,7703419247,0.1280302861777048
hes,7667255097,0.12742924054778187
sit,7634282993,0.12688124649791302
der,7607432624,0.1264349952532614
fth,7595352455,0.1262342236939636
les,7567750237,0.12577547677180229
man,7547990267,0.12544706745993106
ant,7529985399,0.12514782781988038
ind,7487181360,0.12443642770169704
new,7349340050,0.12214551482255152
pri,7346350184,0.12209582345988006
ree,7338235853,0.12196096384926296
ble,7301450674,0.12134959676103106
ast,7296466185,0.12126675490436226
nta,7285962164,0.12109217881398911
tur,7255257009,0.12058186129708752
por,7235072745,0.12024640024877283
ght,7211373509,0.1198525206129923
ain,7203902170,0.11972834748419978
anc,7170617892,0.11917516512440314
cha,7166970708,0.11911454918279453
eas,7144091746,0.11873430244321202
par,7090030518,0.11783580863545859
ove,7082360635,0.11770833571934775
nde,7001782845,0.11636913851580927
rom,7000056098,0.11634044010209477
rec,6994110775,0.11624162925191218
ert,6973945867,0.11590648989895636
lan,6973440028,0.11589808289034714
cal,6961946111,0.11570705479806385
sof,6893604325,0.11457121912056482
can,6861067469,0.11403045886184918
orm,6811887554,0.1132130921328999
tes,6794181060,0.11291881144774746
ost,6762274549,0.1123885274786057
cat,6716493366,0.1116276474364963
son,6709265158,0.11150751512782667
tic,6664284326,0.11075993686305627
end,6663626810,0.11074900899337305
hea,6659669886,0.11068324519474548
ina,6651182188,0.1105421802508437
red,6642804662,0.1104029463578346
wor,6637704263,0.11031817808511662
ber,6597498432,0.10964996000118628
lic,6582149201,0.10939485686133019
han,6578893232,0.10934074288551118
mat,6573067826,0.10924392504743599
tat,6530894805,0.10854301240403921
hin,6516345939,0.10830121127420114
nes,6497781151,0.10799266580312425
pre,6488727797,0.10784219969627962
sho,6455765345,0.10729436606197204
ren,6448696005,0.10717687412829077
ein,6448143573,0.10716769274729801
eme,6402422147,0.10640780586232647
ric,6395194174,0.10628767745934033
ust,6379227540,0.10602231312504024
fro,6375179963,0.10595504267992743
rth,6370312621,0.1058741477981608
inc,6370252546,0.10587314935588531
eat,6369047797,0.10585312651222373
ase,6327795380,0.10516751424256973
nti,6317158311,0.10499072690379255
ard,6311394005,0.10489492454342078
rch,6274084817,0.10427484846245738
ndi,6269566407,0.10419975280599374
lea,6244702983,0.10378652444751937
tan,6217725873,0.10333816677636024
ssi,6195368725,0.10296659254876357
nin,6130432182,0.1018873517704665
min,6092377855,0.10125489153172157
ail,6072492710,0.10092440182015269
omp,6060470158,0.10072458785134322
ins,6014649559,0.09996305271808555
cou,5995557118,0.09964573769125343
ell,5986380502,0.09949322297863662
erv,5983848823,0.09945114665168527
tal,5977899885,0.09935227572045692
enc,5973938086,0.09928643089967214
ass,5966350848,0.09916033153764968
tth,5939891775,0.09872058360500197
lle,5912788121,0.09827012278146145
ele,5861110005,0.09741123612756666
mor,5853333602,0.09728199285654633
ean,5821419268,0.09675157886969471
sth,5804667004,0.09647315742004042
tem,5802727192,0.09644091788100875
sea,5786861403,0.09617722958351721
rma,5766719323,0.0958424696303161
als,5733501281,0.09529038810818172
und,5724495752,0.09514071684947402
pla,5722840349,0.0951132041680226
ple,5715951078,0.09499870496845882
eal,5688417224,0.09454109425117013
rie,5668790174,0.09421489406035191
ema,5633677134,0.09363131780471454
ali,5565221840,0.09249359563223741
nda,5557391188,0.0923634507466519
ack,5545389093,0.09216397677174389
hen,5532909018,0.0919565588028476
ial,5531098938,0.09192647540053314
ord,5507276734,0.09153055204523979
ana,5502597527,0.09145278395394343
arc,5491331558,0.09126554434139075
ori,5441192075,0.09043222965975868
che,5399280917,0.0897356691610076
tho,5387244363,0.08953562247994276
eof,5386724990,0.08952699053720527
lis,5384955984,0.08949758978188246
dis,5358834980,0.08906346053224162
een,5358525566,0.08905831809331972
car,5357500581,0.08904128291469707
ngt,5353297143,0.08897142207072446
ire,5337275614,0.0887051453853846
ead,5327711206,0.08854618559699749
eto,5293783627,0.08798231161981804
ene,5291163831,0.08793877079452311
att,5277287215,0.08770814241241214
nto,5271110670,0.08760548866884918
omm,5264607931,0.08749741360394432
pos,5248084605,0.08722279708775103
abl,5231381622,0.08694519468485128
lat,5230707353,0.08693398838148614
nds,5194523830,0.08633262077366553
dat,5176782537,0.08603776173158015
lit,5168451640,0.08589930280927208
gra,5145224530,0.08551326987441148
mes,5129904687,0.08525865516104879
hec,5118992363,0.08507729310352766
kin,5113676314,0.08498894074297428
esa,5100639139,0.0847722638112535
vie,5095452194,0.08468605715010148
ote,5072613471,0.08430647917986936
dth,5071057720,0.08428062270765037
ern,5070614435,0.08427325534212235
sio,5066515348,0.08420512880443173
ono,5061933049,0.08412897131728078
esi,5010935514,0.08328139587174727
inf,4991364904,0.08295613370976017
mer,4985030014,0.0828508482834321
nfo,4979480372,0.08275861362364507
hav,4964976887,0.08251756672283578
mar,4963752374,0.082497215402884
chi,4954082528,0.08233650324235134
ten,4922100556,0.08180496511669604
uni,4895469337,0.0813623561296337
ime,4890637336,0.08128204861280189
nat,4886046885,0.0812057556399842
des,4884915884,0.08118695848289662
hou,4877372246,0.08106158374980817
rit,4851266103,0.0806277014889423
tim,4847389716,0.08056327620959135
den,4814416882,0.08001527002717385
sco,4803130426,0.07982768992212182
ans,4801849021,0.07980639306113071
hel,4783531522,0.07950195751584435
nst,4770081711,0.0792784226028203
rti,4763652071,0.07917156243815508
rep,4762450270,0.0791515885900462
eso,4756210858,0.07904789000136407
tot,4738960589,0.0787611917436297
any,4728608853,0.07858914661924779
tri,4713923893,0.07834508361669988
ret,4674859628,0.07769583827941418
fin,4667133785,0.07756743531203845
spe,4667036517,0.07756581872471838
duc,4662832865,0.07749595432408082
ntr,4651770228,0.07731209407506975
mbe,4649564107,0.07727542849918505
usi,4623695244,0.07684548981523354
tiv,4622565482,0.07682671325023885
ner,4620092388,0.07678561060186778
ous,4609890966,0.07661606368559574
was,4603563125,0.07651089541315198
hem,4575052065,0.07603704360086079
ens,4570790914,0.07596622357088659
ale,4543565342,0.07551373647875939
day,4539446130,0.07544527546498399
unt,4530723543,0.07530030668241969
tte,4529716052,0.07528356225284684
ngs,4486451266,0.07456450455192341
tre,4474109304,0.07435938201137497
ral,4465013178,0.0742082050368981
rou,4462083296,0.07415951060408853
sed,4461687073,0.07415292540569109
nge,4454033649,0.07402572603700285
edt,4453089784,0.07401003906707579
wil,4452969888,0.07400804640398694
ini,4415076911,0.07337826779089579
nit,4406118068,0.07322937245022511
ora,4393075857,0.07301261182053846
har,4384747787,0.07287419988277158
tof,4350567797,0.07230613085252176
las,4341714766,0.07215899409985034
mon,4332298746,0.07200250050958854
ton,4327808715,0.07192787651010926
ile,4322547422,0.07184043419042542
ope,4315224196,0.07171872268927752
fre,4303594420,0.07152543662996788
ors,4277879739,0.07109806044001425
ven,4276023029,0.07106720205037882
eli,4266243336,0.07090466424043063
uct,4263070575,0.07085193317572042
shi,4262515709,0.07084271134181881
abo,4258547437,0.07077675894022924
ook,4246721431,0.07058021155211858
gin,4242936469,0.07051730574983857
evi,4235683328,0.07039675905646227
ang,4234472400,0.0703766335182552
ary,4220518900,0.07014472732947075
ond,4214594196,0.07004625916561823
rac,4199437411,0.06979435446474924
app,4198606658,0.06978054740830811
ses,4172839925,0.06935230611777479
sen,4165540187,0.0692309849855352
own,4163643693,0.0691994653886174
ani,4163563121,0.06919812628764326
dit,4162143900,0.06917453893442342
iss,4156164118,0.06907515537808402
efo,4152621739,0.06901628128820549
ork,4143488317,0.06886448445683127
ndt,4131774029,0.06866979381402456
tel,4125854543,0.06857141237296512
sse,4107858861,0.06827232540358846
log,4107826461,0.06827178691786685
hei,4096586539,0.06808498020462253
epr,4083386026,0.06786558860682773
isi,4083366927,0.06786527118279077
rel,4079091804,0.06779421893915909
mai,4075588563,0.06773599532008837
off,4064185949,0.06754648467724461
top,4056006258,0.06741053878802365
tis,4044157867,0.06721361936278712
iew,4042686577,0.0671891666264488
cen,4031052240,0.06699580476363991
net,4026381400,0.06691817573129519
cia,4020303844,0.06681716717795129
low,4002813370,0.06652647673000821
erm,3994057455,0.06638095403842756
vel,3987040565,0.06626433382005799
has,3984805610,0.0662271890251209
wer,3979384650,0.0661370930511249
onl,3979086014,0.06613212974180512
oul,3974453966,0.06605514542977253
ose,3967196545,0.06593452760309719
dto,3965377133,0.06590428910359895
ade,3961680814,0.06584285654174554
ake,3960596880,0.06582484163488819
hot,3955446422,0.06573924138511042
let,3939345949,0.06547165265604192
cre,3911644784,0.06501126124169862
war,3899414787,0.06480799955157676
oll,3892217242,0.06468837685981092
ery,3883333693,0.06454073290012553
fic,3876847388,0.06443293096714503
gen,3836974595,0.06377024795135532
ien,3835543181,0.06374645795133292
lar,3817850411,0.06345240535809538
oli,3812915052,0.06337038003857173
vid,3809576044,0.06331488596041208
rev,3807313241,0.06327727833367326
mpl,3806175749,0.06325837329662214
ach,3799166227,0.06314187553389446
ari,3791995006,0.0630226903451575
its,3788980745,0.0629725935393015
ish,3787325139,0.06294507748400437
ndo,3781249534,0.06284410135614327
ews,3781048907,0.06284076694951143
ili,3777745194,0.06278585947176982
vic,3773028217,0.06270746364572947
eda,3740169264,0.06216135015752382
lec,3738131948,0.06212749010886867
bou,3736708437,0.06210383145615052
spo,3725032224,0.061909773617166354
ult,3724077889,0.061893912636575565
rvi,3722003645,0.06185943884715721
but,3719687608,0.06182094647508184
tar,3714915493,0.061741634259358816
nga,3714447921,0.06173386324559866
hom,3713259626,0.06171411386626002
fer,3709874139,0.061657847310388786
sel,3703866786,0.061558005525968185
acc,3680387742,0.061167785465743675
ick,3675106165,0.06108000602740623
hep,3673118427,0.06104696996162474
eed,3672133030,0.061030592732778235
ges,3663779684,0.06089176070966878
ian,3655322894,0.06075120945455353
sec,3649778260,0.06065905802737435
gre,3649379201,0.060652425694856335
ory,3642269638,0.060534265257743566
rig,3634950989,0.060412629826013815
tai,3620327604,0.060169590195635926
rst,3617812064,0.060127782097729676
cor,3606834198,0.05994533073677748
pag,3596757993,0.05977786491824013
rre,3580338959,0.05950498172775298
dre,3555169302,0.05908666379835305
ela,3551217529,0.05902098560898326
ata,3550559961,0.05901005687506369
emo,3544846731,0.05891510339422024
alt,3539831680,0.058831753599260586
win,3539171386,0.058820779559412714
uld,3539126453,0.05882003277611242
hed,3534362556,0.0587408571429715
ita,3534151893,0.058737355938725415
she,3531819207,0.0586985868614408
emb,3528304914,0.05864017955890725
ete,3521613420,0.05852896739917571
ris,3517748155,0.05846472696668264
how,3513367424,0.058391919525517345
elo,3511924793,0.05836794309974372
get,3509418020,0.058326280708760975
ich,3494626452,0.058080445888749783
now,3483675582,0.05789844319941922
don,3482358892,0.05787655990420937
lly,3474375310,0.05774387333277796
whi,3468916024,0.05765314038335708
eta,3450393964,0.05734530504863554
oni,3440408731,0.05717935117834099
lli,3433459819,0.057063860749551186
ech,3427608713,0.05696661577928323
sou,3425988939,0.05693969524930637
epa,3425615278,0.056933485029762365
ace,3411008620,0.05669072340094823
nsi,3409930873,0.056672811321595816
ede,3406717306,0.056619402064035096
cto,3381558674,0.05620126736935987
tit,3378559366,0.05615141908131238
med,3370532871,0.05601801929883863
ovi,3357792344,0.05580627263601744
equ,3333963572,0.055410240121025946
odu,3331875092,0.05537552973028867
